 Name,RA,Decl,Gal.  long. [deg],Gal.  lat. [deg],Flux  (max) [C.U.],Radius [arc min],Counterpart or  other name(s),Publication(s),SOM
 HESS J1837-069,279.41,-6.95, 25.18, -0.12, 0.132, 7.2, G25.5+0.0 ?;  AX J1838.0-0655 ?, Science 307 (2005) 1938;  ApJ 636 (2006) 777, 2008-05
 HESS J1632-478,248.04,-47.82, 336.38, 0.19, 0.12, 12.6, IGR J16320-4751 ?, ApJ 636 (2006) 777, 2010-02
 HESS J1634-472,248.74,-47.27, 337.11, 0.22, 0.06, 6.6, IGR J16358-4726 ?;  G337.2+0.1 ?, ApJ 636 (2006) 777, 2010-02
 HESS J1702-420,255.69,-42.07, 344.26, -0.22, 0.24, 18,, ApJ 636 (2006) 777;  A&A 477 (2008) 353, 2006-07
 HESS J1708-410,257.06,-41.08, 345.67, -0.44, 0.07, 4.8,, ApJ 636 (2006) 777;  A&A 477 (2008) 353, 2010-05
 HESS J1713-381,258.49,-38.2, 348.65, 0.38, 0.018, 3.6, CTB 37B  (G348.7+0.3) ?, ApJ 636 (2006) 777;  A&A 486 (2008) 829, 2008-04
 HESS J1745-303,266.26,-30.37, 358.71, -0.64, 0.05, 12.6, 3EG J1744-3011 ?, ApJ 636 (2006) 777;  A&A 483 (2008) 509, 2008-01
 HESS J1514-591,228.5291667,-59.1575, 320.33, -1.19, 0.15, 6, MSH 15-5 2, A&A 435 (2005) L17-L20;  ICRC2017 [arXiv:1709.01422], 2005-06
 HESS J2009-488,302.3720833,-48.82194444, 350.39, -32.61, 0.025, 0, PKS 2005-489, A&A 436 (2005) L17;  A&A 511 (2010) A52;  A&A 533 (2011) A110, 2005-11
 HESS J2158-302,329.7195833,-30.22166667, 17.74, -52.25, 0.2, 0, PKS 2155-304, A&A 430 (2005) 865;  A&A 442 (205) 895;  AIPC 848 (2006) 570;  ApJ 664 (2007) L71;  PRL 101 (2008) 170402;  ApJ 696 (2009) L150;  A&A 502 (2009) 749;  A&A 520 (2010) A83;  Astropart.Phys. 34 (2011) 738;  A&A 571 (2014) A39, 2004-11; 2007-09; 2009-02; 2010-07; 2016-10; 2017-01
 HESS J1303-631,195.7516667,-63.19861111, 304.24, -0.36, 0.17, 9.6, PSR J1301-6305, A&A 439 (2005) 1013;  A&A 548 (2012) A46, 2005-05; 2011-01
 HESS J1302-638,195.705,-63.83388889, 304.19, -0.99, 0.07, 0, PSR B1259-63 /  SS 2883, AIP Conf. Proc. 745 (2005) 341;  A&A 439 (2005) 1013;  A&A 551 (2013) A94, 2005-04; 2018-10
 HESS J0852-463,133,-46.37, 266.29, -1.24, 1.1, 60, RX J0852.0-4622  (Vela Junior)," A&A 437 (2005) L7;  ApJ 661 (2007) 236;  A&A 612, A7 (2018)", 2005-03; 2017-06
 HESS J2359-306,359.7825,-30.6275, 12.84, -78.04, 0.02, 0, H 2356-309, Nature 440 (2006) 1018;  A&A 455 (2006) 461;  A&A 516 (2010) A56, 2006-01
 HESS J1103-234,165.9070833,-23.49194444, 273.19, 33.08, 0.02, 0, 1ES 1101-232, Nature 440 (2006) 1018;  A&A 470 (2007) 475, 2005-12
 HESS J1826-148,276.5575,-14.84833333, 16.88, -1.28, 0.03, 0, LS 5039, Science 309 (2005) 746;  A&A 460 (2006) 743;  ApSS 309 (2007) 277, 2005-08; 2006-08
 HESS J0835-455,128.75,-45.6, 263.86, -3.09, 0.75, 26, Vela X, A&A 448 (2006) L43;  A&A 548 (2012) A38;  A&A 627 (2019) A100, 2006-05; 2010-03; 2018-07
