NAME,RUNID,EVENTID,START,EVENTMJD,I3TYPE,RA,DEC,RA_ERR_PLUS,RA_ERR_MINUS,DEC_ERR_PLUS,DEC_ERR_MINUS,ENERGY,FAR,SIGNAL,CASCADE_SCR,SKIMMING_SCR,START_SCR,STOP_SCR,THRGOING_SCR,CR_VETO
IC160410A,127790,45902607,37:41.0,57488.7345,gfu-bronze,235.63,-4.07,1.23,1.45,1.31,0.86,131,2.28,0.367,4.34E-07,3.25E-09,0.00142,9.44E-05,0.998,FALSE
IC160427A,127853,67093193,52:32.2,57505.24482,hese-bronze,240.29,9.71,0.44,0.48,0.57,0.42,85,0.23,0.451,0.000124,2.03E-07,1,8.98E-07,7.83E-05,FALSE
IC160510A,127910,25056152,56:05.5,57518.66395,ehe-gold,352.88,1.9,1.76,1.45,0.75,0.67,208,1.4,0.393,5.26E-06,8.34E-07,0.148,8.93E-05,0.852,FALSE
IC160612A,128034,69069846,25:22.9,57551.43429,gfu-bronze,16.52,4.67,0.88,0.18,1.87,0.52,106,4.74,0.249,5.73E-08,4.38E-09,0.0137,0.000118,0.986,FALSE
IC160614A,128065,17929326,37:43.4,57553.5262,gfu-bronze,214.76,40.82,3.16,4.13,3.33,3.98,112,0.89,0.413,2.50E-14,5.63E-08,5.62E-11,3.76E-07,1,FALSE
IC160615A,128067,65335330,42:12.4,57554.40431,gfu-bronze,304.32,12.64,1.63,1.05,1.33,1.34,150,1.64,0.41,2.61E-10,1.28E-08,8.16E-07,1.80E-05,1,FALSE
IC160707A,128209,54386016,01:52.8,57576.16797,gfu-bronze,351.43,0.6,1.54,2.29,0.82,1.12,110,4.15,0.278,1.12E-07,8.20E-08,0.000581,8.32E-05,0.999,FALSE
IC160720A,128253,44251618,55:28.8,57589.91353,gfu-bronze,60.25,29.23,10.72,8.88,5.32,5.87,108,2.07,0.368,8.78E-13,1.41E-08,1.83E-08,1.76E-07,1,FALSE
IC160727A,128278,49218472,15:33.4,57596.34414,gfu-bronze,113.12,14.67,1.93,1.54,1.08,1.12,105,3.02,0.296,3.19E-07,7.79E-12,1,4.98E-11,1.48E-08,FALSE
IC160731A,128290,6888376,55:03.5,57600.0799,hese-bronze,214.58,-0.3,0.53,0.57,0.45,0.67,98,0.33,0.441,0.00378,4.96E-08,0.996,3.16E-07,1.57E-07,FALSE
IC160731B,128292,15195696,50:13.6,57600.78488,gfu-bronze,312.63,20.07,3.74,3.21,2.56,2.13,118,2.08,0.385,1.39E-11,2.06E-08,2.17E-07,6.76E-06,1,FALSE
IC160806A,128311,26552458,21:32.8,57606.51496,gfu-gold,122.78,-0.71,0.88,1.23,0.56,0.56,219,0.82,0.578,1.39E-06,5.17E-06,2.23E-05,0.000198,1,FALSE
